id,uf,nre,municipio,codigo_inep,escola,dependencia_administrativa,localizacao,localidade_diferenciada,endereco,telefone,categoria_escola_privada,etapas_modalidade_ensino_oferecidas,outras_ofertas_educacionais,apmf_cnpj
2,PR,APUCARANA,Apucarana,41157095,ACALANTO C E I,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA OSORIO RIBAS DE PAULA, 1455 VL VITORIA. 86802-710 Apucarana - PR.",(43) 31220046,Particular,Educação Infantil,,
3,PR,APUCARANA,Apucarana,41025296,ADVENTISTA - ESCOLA ED-EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA DOUTOR MUNHOZ DA ROCHA, 1925 CENTRO. 86800-014 Apucarana - PR.",(43) 30334916,Particular,"Educação Infantil, Ensino Fundamental",,
4,PR,APUCARANA,Apucarana,41025318,ALBERTO SANTOS DUMONT C E EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ERASTO GAERTNER, 64 CENTRO. 86800-280 Apucarana - PR.",(43) 34221425,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,78975034000199
5,PR,APUCARANA,Apucarana,41025326,ALBINO BIACCHI E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV JUSCELINO KUBITSCHEK DE OLIVEIRA, 250 JD TRABALHISTA. 86807-180 Apucarana - PR.",(43) 30341651,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
6,PR,APUCARANA,Apucarana,41359275,ALCIDES RAMOS E M PROF EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA RIO IGUACU, 10 N OSMAR G FREIRE. 86801-020 Apucarana - PR.",(43) 34262324,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7,PR,APUCARANA,Apucarana,41155610,ALICE PEREIRA DE ARAUJO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA INOCENCIO MARTINS, 18 SUMATRA II. 86812-767 Apucarana - PR.",(43) 34220586,Não Informado,Educação Infantil,,
8,PR,APUCARANA,Apucarana,41368444,ANA LUIZAO FESTI C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA AUGUSTO FERREIRA CHAGAS, 847 DIST.DE PIRAPO. 86818-000 Apucarana - PR.",(43) 33401230,Não Informado,Educação Infantil,,
9,PR,APUCARANA,Apucarana,41025342,ANTONIETA S LAUTENSCHLAGER E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NOSSA SENHORA DA CONCEICAO, 449 JD PRES KENNEDY. 86809-120 Apucarana - PR.",(43) 34232998,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
10,PR,APUCARANA,Apucarana,41368452,ANTONIO DO CARMO RIBEIRO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NELSON MIQUILAO SN, CAIXA DE SAO PEDRO. 86817-000 Apucarana - PR.",(43) 34405040,Não Informado,Educação Infantil,,
11,PR,APUCARANA,Apucarana,41597907,ANTONIO T R DE OLIVEIRA C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA SANTA HELENA, 42 JD CIDADE EDUCACAO. 86806-560 Apucarana - PR.",(43) 34242484,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,12150717000107
12,PR,APUCARANA,Apucarana,41025385,ANTONIO VIEIRA E M C PE EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CALIFORNIA, 555 DT CORREA FREITAS. 86816-000 Apucarana - PR.",(43) 34581002,Não Informado,"Educação Infantil, Ensino Fundamental",,
13,PR,APUCARANA,Apucarana,41385233,ARNALDO BELTRAMI E M MONS EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA LUIZ CLAUDIO MATSUI, 106 JD COLONIAL II. 86812-540 Apucarana - PR.",(43) 34227879,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
14,PR,APUCARANA,Apucarana,41025415,AUGUSTO WEYAND E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA MARCILIO DIAS, 889 JD TIBAGI. 86812-460 Apucarana - PR.",(43) 34258781,Não Informado,"Educação Infantil, Ensino Fundamental",,
15,PR,APUCARANA,Apucarana,41368266,BENEDITO LEUGI C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA RIO CONGOINHAS SN, JOAO PAULO. 86801-070 Apucarana - PR.",(43) 34263500,Não Informado,Educação Infantil,,
16,PR,APUCARANA,Apucarana,41025440,BENTO F DIAS E M PROF EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JOSE MISKOWSKI, ESCOLA. VILA RESIDENCIAL MALIBU. 86812-285 Apucarana - PR.",(43) 34269879,Não Informado,"Educação Infantil, Ensino Fundamental",,
17,PR,APUCARANA,Apucarana,41025482,CARLOS MASSARETTO C E PREF EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"AV AVIACAO, 1880 N H CASTELO BRANCO. 86812-470 Apucarana - PR.",(43) 34236860,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",1284602000180
18,PR,APUCARANA,Apucarana,41357302,CEEBJA PROFA LINDA E A MIYADI EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"AV CURITIBA, 1052 CENTRO. 86800-605 Apucarana - PR.",(43) 34232840,Não Informado,Educação de Jovens Adultos,Atendimento Educacional Especializado,1183434000137
19,PR,APUCARANA,Apucarana,41025890,CENTRO EST EDUC PROF AGR MANOEL RIBAS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA MARCILIO DIAS, 465 VL SCHMIDT. 86812-460 Apucarana - PR.",(43) 34236070,Não Informado,"Ensino Médio, Educação Profissional",Atividade Complementar,1439602000102
20,PR,APUCARANA,Apucarana,41382897,COBRA C EI EF M,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA GUARAPUAVA, 456 CENTRO. 86800-250 Apucarana - PR.",(43) 34292960,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
21,PR,APUCARANA,Apucarana,41026039,COLEGIO NOSSA SENHORA DA GLORIA,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA ANTONIO OSTRENSKI, 272 CENTRO. 86800-200 Apucarana - PR.",(43) 34220551,Filantrópica,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
22,PR,APUCARANA,Apucarana,41427823,COLEGIO SESI APUCARANA,Privada,Urbana,A escola não está em área de localização diferenciada,"AV. AVIACAO, 1851 VILA NOVA. 86812-500 Apucarana - PR.",(43) 34205300,Particular,"Ensino Médio, Educação de Jovens Adultos",,
23,PR,APUCARANA,Apucarana,41153596,COLIBRI E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA NAGIB DAHER, 812 CENTRO. 86800-040 Apucarana - PR.",(43) 34227107,Particular,"Educação Infantil, Ensino Fundamental",,
24,PR,APUCARANA,Apucarana,41385250,CRIANCA FELIZ E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA DOM PEDRO II, 402 JD PONTA GROSSA. 86805-260 Apucarana - PR.",(43) 30337178,Particular,"Educação Infantil, Ensino Fundamental",,
25,PR,APUCARANA,Apucarana,41375653,CRISTAO PLGD C P L G DE DEUS EI EF M,Privada,Urbana,A escola não está em área de localização diferenciada,"AV JABOTI, 195 VL SANTO INACIO. 86802-000 Apucarana - PR.",(43) 34240203,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
26,PR,APUCARANA,Apucarana,41025563,DINARTE P DE ARAUJO E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PAULO SETUBAL, 250 PQ BIGUACU. 86808-280 Apucarana - PR.",(43) 34268689,Não Informado,"Educação Infantil, Ensino Fundamental",,
27,PR,APUCARANA,Apucarana,41368487,DOMINGOS MAREZE C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA SERRA DO CADEADO SN, N H A CORREIA. 86813-070 Apucarana - PR.",(43) 34249720,Não Informado,Educação Infantil,,
28,PR,APUCARANA,Apucarana,41368509,DULCE C M E I IR,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JOSE CARDOSO SOBRINHO, 364 PQ BIGUACU. 86808-280 Apucarana - PR.",(43) 34253118,Não Informado,Educação Infantil,,
29,PR,APUCARANA,Apucarana,41025571,DURVAL PINTO E M PROF EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV MITSUO HAYASHI, 335 CENTRO. 86800-360 Apucarana - PR.",(43) 34233550,Não Informado,"Educação Infantil, Ensino Fundamental",,
30,PR,APUCARANA,Apucarana,41025598,EDSON GIACOMINI E M DR EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JACARANDA, 7 N AFONSO CAMARGO. 86803-490 Apucarana - PR.",(43) 30341894,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
31,PR,APUCARANA,Apucarana,41026128,EVOLUCAO CENT CULT APUCARANA C EI EF M,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA RUBI, 233 VILA AGARI. 86808-340 Apucarana - PR.",(43) 34228581,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
32,PR,APUCARANA,Apucarana,41380207,FABIO H DA SILVA E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JAIR FIDELIS MARQUES, 240 RESIDENCIAL GARCIA. 86807-560 Apucarana - PR.",(43) 34237759,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,
33,PR,APUCARANA,Apucarana,41155556,FERNANDO J ACOSTA E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA ILSON FERREIRA GUERRA, 405 CONJ HAB SUMATRA I. 86812-755 Apucarana - PR.",(43) 34231311,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,
34,PR,APUCARANA,Apucarana,41025636,FRANCISCO A SOUSA E E PROF EF,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA AFFONSO ALVES DE CAMARGO, 350 NUC PARIGOT SOUSA. 86802-560 Apucarana - PR.",(43) 34235301,Não Informado,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",726285000142
35,PR,APUCARANA,Apucarana,41025644,GABRIEL DE LARA E M EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA ARTHUR BERNARDES, 487 VL ORIZZE. 86808-060 Apucarana - PR.",(43) 30336979,Não Informado,"Educação Infantil, Ensino Fundamental",,
36,PR,APUCARANA,Apucarana,41448820,GERALDA S BORMAITA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA LUIS CARLOS MATSUI, 55 JD COLONIAL. 86812-540 Apucarana - PR.",(43) 34257318,Não Informado,Educação Infantil,,
37,PR,APUCARANA,Apucarana,41532074,GODOMA B DE OLIVEIRA C E C PROF EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA APUCARANA, 415 VL REIS. 86819-000 Apucarana - PR.",(43) 34223821,Não Informado,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",12778037000124
38,PR,APUCARANA,Apucarana,41025652,HEITOR C A FURTADO C E EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA RIO PARANAPANEMA, 580 N JOAO PAULO I. 86801-220 Apucarana - PR.",(43) 34262662,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,72464126000128
39,PR,APUCARANA,Apucarana,41025679,HUMBERTO DE A C BRANCO E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CARMEM MIRANDA, 114 N R CASTELO BRANCO. 86812-330 Apucarana - PR.",(43) 34239968,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
40,PR,APUCARANA,Apucarana,41025687,IDALICE M PRATES E M PROF EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JOAO MATIUZZI, 425 PQ BELA VISTA. 86803-180 Apucarana - PR.",(43) 34240738,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,
41,PR,APUCARANA,Apucarana,41158733,INTERATIVA KIDS E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"AV ANDRE HERNANDES, 460 DIST DE PIRAPO. 86818-000 Apucarana - PR.",(43) 34401539,Particular,"Educação Infantil, Ensino Fundamental",,
42,PR,APUCARANA,Apucarana,41382978,IZABEL HOLAK C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA SAO LEOPOLDO, 101 D ROMEU ALBERTI. 86800-970 Apucarana - PR.",(43) 34277119,Não Informado,Educação Infantil,,
43,PR,APUCARANA,Apucarana,41025695,IZIDORO L CERAVOLO C E PROF EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ELIDIO STABILE, 379 28 DE JANEIRO. 86800-130 Apucarana - PR.",(43) 34231299,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",80922271000133
44,PR,APUCARANA,Apucarana,41368541,JANDIRA G SCARPELINI C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA FERNANDO PEREIRA SN, JD PONTA GROSSA. 86805-180 Apucarana - PR.",(43) 34266953,Não Informado,Educação Infantil,,
45,PR,APUCARANA,Apucarana,41025733,JOAO A BRAGA CORTES E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA ITALO ADO FONTANINI, 486 VL FORMOSA. 86800-630 Apucarana - PR.",(43) 30337491,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
46,PR,APUCARANA,Apucarana,41025741,JOAO BATISTA E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JARDINOPOLIS SN, VL VITORIA REGIA. 86801-270 Apucarana - PR.",(43) 34230014,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
47,PR,APUCARANA,Apucarana,41025750,JOAO XXIII E M PAPA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NATIVIDADE, VILA REGINA. 86801-390 Apucarana - PR.",(43) 34221226,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
48,PR,APUCARANA,Apucarana,41025768,JOAQUIM V CASTRO E M DR EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA QUINTINO BOCAIUVA, 738 VL SANTA ROSA. 86811-000 Apucarana - PR.",(43) 34247433,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
49,PR,APUCARANA,Apucarana,41150465,JONAS PIRES CMEI,Municipal,Urbana,A escola não está em área de localização diferenciada,"R JAIR FIDELIS MARQUES, 305 JD RESID GARCIA. 86807-560 Apucarana - PR.",(43) 34241593,Não Informado,Educação Infantil,,
50,PR,APUCARANA,Apucarana,41368550,JOSA RIBEIRO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA MANOEL LUIS SILVA, VL SAO MARCOS. 86800-470 Apucarana - PR.",(43) 34251748,Não Informado,Educação Infantil,,
51,PR,APUCARANA,Apucarana,41025393,JOSE A MENEGAZZO E EI EF MOD ED ESP,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA DENHEI KANASHIRO, 650 86812-600 Apucarana - PR.",(43) 21027200,Filantrópica,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
52,PR,APUCARANA,Apucarana,41359267,JOSE BRAZIL CAMARGO E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PAPAGAIO, 318 N HAB MICHEL SONNI. 86813-380 Apucarana - PR.",(43) 34239751,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
53,PR,APUCARANA,Apucarana,41025717,JOSE CANALE C E PE EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA EMILIANO PERNETA, 1290 JD OURO VERDE. 86805-030 Apucarana - PR.",(43) 34266556,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,72368194000193
54,PR,APUCARANA,Apucarana,41025792,JOSE DE ALENCAR E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA APUCARANA, 415 VL REIS. 86819-000 Apucarana - PR.",(43) 34561004,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
55,PR,APUCARANA,Apucarana,41025806,JOSE DE ANCHIETA C E PE EF M PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA BYNGTON, 870 JD TRABALHISTA. 86807-260 Apucarana - PR.",(43) 34236506,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",78300845000190
56,PR,APUCARANA,Apucarana,41025822,JOSE I BRIANEZI E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA RIO ALONZO, 55 NUCLE JOAO PAULO I. 86801-230 Apucarana - PR.",(43) 24228974,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",,
57,PR,APUCARANA,Apucarana,41368533,JOSE IGNACIO NETO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PAPAGAIOS SN, RECANTO DO LAGO. 86813-380 Apucarana - PR.",(43) 34249718,Não Informado,Educação Infantil,,
58,PR,APUCARANA,Apucarana,41025830,JOSE R DE OLIVEIRA E M VER EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV ANDRE HERNANDES SN, DIST PIRAPO. 86818-000 Apucarana - PR.",(43) 34401626,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
59,PR,APUCARANA,Apucarana,41025849,KAREL KOBER E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CATANDUVA, 335 JD AMERICA. 86807-320 Apucarana - PR.",(43) 30341255,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
60,PR,APUCARANA,Apucarana,41368568,LUIS ANIBAL MATIUZZI C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CONSELHEIRO VASCONCELOS SN, PARIGOT DE SOUZA. 86802-690 Apucarana - PR.",(43) 34234181,Não Informado,Educação Infantil,,
61,PR,APUCARANA,Apucarana,41025857,LUIZ CARLOS PRESTES E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA INDEPENDENCIA, 632 JD AMERICA. 86807-030 Apucarana - PR.",(43) 34266541,Não Informado,"Educação Infantil, Ensino Fundamental",,
62,PR,APUCARANA,Apucarana,41359283,LUIZ F A PEREIRA E M JUIZ EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA SAO SEBASTIAO, 164 DOM ROMEU ALBERTI. 86806-120 Apucarana - PR.",(43) 34234544,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
63,PR,APUCARANA,Apucarana,41025865,LUIZ J DOS SANTOS C E C CEL EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA AUGUSTO FERREIRA CHAGAS SN, 0 DIST PIRAPO. 86818-000 Apucarana - PR.",(43) 34401349,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",1470633000126
64,PR,APUCARANA,Apucarana,41026160,MAGNOS COLIBRI E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA IRMA ELEOTERIA, 377 VL BRASIL. 86800-040 Apucarana - PR.",(43) 34230280,Particular,"Educação Infantil, Ensino Fundamental",,
65,PR,APUCARANA,Apucarana,41025911,MARCOS DE B FREIRE E M SEN EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CASTRO ALVES, 1212 JD PONTA GROSSA. 86805-040 Apucarana - PR.",(43) 30340581,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
66,PR,APUCARANA,Apucarana,41368584,MARIA DE NAZARE C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA AGOSTINHO DOS SANTOS SN, N H CASTELO BRANCO. 86812-380 Apucarana - PR.",(43) 86812380,Não Informado,Educação Infantil,,
67,PR,APUCARANA,Apucarana,41158997,MARIA DOS SANTOS GRAVENA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CATANDUVA, 232 JD AMERICA. 86807-320 Apucarana - PR.",(43) 34227125,Não Informado,Educação Infantil,,
68,PR,APUCARANA,Apucarana,41382943,MARIA MADALENA COCO E M PROFA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA ROLANDIA, 316 CENTRO. 86800-310 Apucarana - PR.",(43) 34243509,Não Informado,"Educação Infantil, Ensino Fundamental",,
69,PR,APUCARANA,Apucarana,41380215,MARILDA DUARTE NOLI E M PROFA EIEF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA EMILIANO PERNETA, 509 JD PONTA GROSSA. 86805-030 Apucarana - PR.",(43) 30341669,Não Informado,"Educação Infantil, Ensino Fundamental",,
70,PR,APUCARANA,Apucarana,41025938,MARTA P DA SILVA E M PROFA EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA SANTA CANDIDA, 89 JD MENEGAZZO. 86802-040 Apucarana - PR.",(43) 30333653,Não Informado,"Educação Infantil, Ensino Fundamental",,
71,PR,APUCARANA,Apucarana,41025954,MATER DEI - COLEGIO ED INF ENS FUND E MEDIO,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA PROFESSORA TALITA BRESOLIN, 1139 JARDIM SAO PEDRO. 86802-390 Apucarana - PR.",(43) 34230500,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
72,PR,APUCARANA,Apucarana,41025962,MATEUS LEME E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NOVA UCRANIA, 548 N SRA CONCEICAO. 86802-500 Apucarana - PR.",(43) 34228318,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
73,PR,APUCARANA,Apucarana,41025970,MEDICI E M PRES EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA PERNAMBUCO, 103 JD DO SOL. 86804-220 Apucarana - PR.",(43) 34257831,Não Informado,"Educação Infantil, Ensino Fundamental",,
74,PR,APUCARANA,Apucarana,41368576,MIGUEL MORENO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA N S DO BOM CONSELHO SN, VL REIS. 86819-000 Apucarana - PR.",(43) 34561580,Não Informado,Educação Infantil,,
75,PR,APUCARANA,Apucarana,41025997,NILO CAIRO C E EF M N,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA OSORIO RIBAS DE PAULA, 970 CENTRO. 86800-140 Apucarana - PR.",(43) 34232042,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",78300977000111
76,PR,APUCARANA,Apucarana,41359313,NOSSA SRA DA ALEGRIA E EI EF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA PROF JOAO CANDIDO FERREIRA, 694 CENTRO. 86800-100 Apucarana - PR.",(43) 34225781,Particular,"Educação Infantil, Ensino Fundamental",,
77,PR,APUCARANA,Apucarana,41025709,O GIRASSOL - CENT EDUC INFANTIL,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA HERMES DA FONSECA, 601 JARDIM TRABALHISTA. 86807-090 Apucarana - PR.",(43) 34237800,Filantrópica,Educação Infantil,Atividade Complementar,
78,PR,APUCARANA,Apucarana,41368592,OLIVIO FERNANDES C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA EDWARD ANDRADE, 517 N H TANCREDO NEVES. 86807-100 Apucarana - PR.",(43) 34249709,Não Informado,Educação Infantil,,
79,PR,APUCARANA,Apucarana,41154134,ONESIMO DE O MORAES C M E I PROF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA NOSSA SRA CONCEICAO SN, JD DAS FLORES. 86809-120 Apucarana - PR.",(43) 34245078,Não Informado,Educação Infantil,,
80,PR,APUCARANA,Apucarana,41026055,OSMAR GUARACY FREIRE C E EF M P,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA SERRA DO MAR, 90 N R ADRIANO CORREA. 86813-130 Apucarana - PR.",(43) 34246562,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",1164991000100
81,PR,APUCARANA,Apucarana,41026071,OSVALDO DOS SANTOS LIMA E M DR EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA EMILIO DE MENEZES, 500 JD ALVORADA. 86807-360 Apucarana - PR.",(43) 30343390,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
82,PR,APUCARANA,Apucarana,41153901,PILARES DA EDUCACAO E EIEF,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA PROF EDWALDO CANEZIN TOSCH, 110 VL FELIZ. 86808-045 Apucarana - PR.",(43) 31221790,Particular,"Educação Infantil, Ensino Fundamental",Atividade Complementar,
83,PR,APUCARANA,Apucarana,41026144,PLACIDO DE CASTRO E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"AV SERRA DA MANTIQUEIRA, 152 N ADRIANO CORREIA. 86813-000 Apucarana - PR.",(43) 34256190,Não Informado,"Educação Infantil, Ensino Fundamental",,
84,PR,APUCARANA,Apucarana,41025466,PLATAO DE APUCARANA - COLEGIO EI-EF-EM,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA OURO BRANCO, 1300 CENTRO. 86808-160 Apucarana - PR.",(43) 34238080,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
85,PR,APUCARANA,Apucarana,41026152,POLIVALENTE DE APUCARANA C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA ROSA STABILE, 385 JD PAULISTA. 86811-050 Apucarana - PR.",(43) 34237484,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",78009990000116
86,PR,APUCARANA,Apucarana,41368649,PRESBITERIANO CHAMBERLAIN - COLEGIO,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA GALDINO GLUCK JUNIOR, 151 CENTRO. 86800-670 Apucarana - PR.",(43) 34233936,Particular,"Educação Infantil, Ensino Fundamental, Ensino Médio",,
87,PR,APUCARANA,Apucarana,41026233,SAO BARTOLOMEU C E EF M,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA PANAMA, 111 JD DIAMANTINA. 86804-010 Apucarana - PR.",(43) 34278384,Não Informado,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,740843000124
88,PR,APUCARANA,Apucarana,41026241,SAO JOSE- COLEGIO,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA SAO PAULO, 951 PREDIO. VILA FELIZ. 86808-070 Apucarana - PR.",(43) 30337111,Filantrópica,"Ensino Fundamental, Ensino Médio",,
89,PR,APUCARANA,Apucarana,41152930,SENAI APUCARANA II,Privada,Urbana,A escola não está em área de localização diferenciada,"AVENIDA AVIACAO, 1851 VILA NOVA. 86812-500 Apucarana - PR.",,Particular,Educação Profissional,,
90,PR,APUCARANA,Apucarana,41368606,SERAFIM COLOMBO C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA GERONIMO MILANE SN, VL REGINA. 86801-140 Apucarana - PR.",(43) 34253117,Não Informado,Educação Infantil,,
