id,uf,nre,municipio,codigo_inep,escola,dependencia_administrativa,localizacao,localidade_diferenciada,endereco,telefone,categoria_escola_privada,etapas_modalidade_ensino_oferecidas,outras_ofertas_educacionais,apmf_cnpj
7950,PR,PITANGA,Pitanga,41097033,RIO DO MEIO C E C EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"RUA PRINCIPAL SN, 0 DIST RIO DO MEIO. 85200-000 Pitanga - PR.",,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",1130264000122
7951,PR,PITANGA,Pitanga,41097084,SAGRADA FAMILIA E M C EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"ARROIO GRANDE, 85200-000 Pitanga - PR.",(42) 88748275,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7952,PR,PITANGA,Pitanga,41371917,SANTA IZABEL C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA DO SOL,S/N, SANTA IZABEL. 85200-000 Pitanga - PR.",(42) 99952214,Não Informado,Educação Infantil,,
7953,PR,PITANGA,Pitanga,41097149,SANTA REGINA E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA WANDERLEY JOAO VIEIRA CLEVE, 531 CJ RES STA REGINA. 85200-000 Pitanga - PR.",(42) 36464222,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7954,PR,PITANGA,Pitanga,41371860,SANTA ROSA C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA GUAIRACA SN, SANTA ROSA. 85200-000 Pitanga - PR.",(42) 36461385,Não Informado,Educação Infantil,,
7955,PR,PITANGA,Pitanga,41382390,SAO JOAO DA COLINA C E C EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"LOC DE SAO JOAO DA COLINA, 85200-000 Pitanga - PR.",,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",7462142000110
7956,PR,PITANGA,Pitanga,41097254,SAO JUDAS TADEU E M C EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"RIO QUINZE DE BAIXO, RIO QUINZE. 85200-000 Pitanga - PR.",(42) 36461385,Não Informado,"Educação Infantil, Ensino Fundamental",,
7957,PR,PITANGA,Pitanga,41097297,TIRADENTES E E EF,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA INTERVENTOR MANOEL RIBAS, 250 CENTRO. 85200-000 Pitanga - PR.",(42) 36461659,Não Informado,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",79322046000187
8055,PR,PONTA GROSSA,Castro,41060806,SAO LUIZ DOS MACHADOS E M C DE EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"SAO LUIZ DOS MACHADOS, DIST SOCAVAO. 84165-970 Castro - PR.",,Não Informado,"Educação Infantil, Ensino Fundamental",,
7958,PR,PITANGA,Pitanga,41097335,VICTOR C DE ALMEIDA C E C PE EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"RUA PRINCIPAL SN, DIST QUINZE BAIXO. 85216-000 Pitanga - PR.",,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",223226000151
7959,PR,PITANGA,Pitanga,41097394,ZELIO DZIUBATE C E C EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"RUA SETE DE SETEMBRO SN, DIST BARRA BONITA. 85200-000 Pitanga - PR.",(42) 36141117,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",1734105000137
7960,PR,PITANGA,Santa Maria do Oeste,41097424,AGRICOLA LONTRENSE E M C EF,Municipal,Rural,Área de assentamento,"ASSENT AGROVILA LONTRENSE, OURO VERDE. 85230-000 Santa Maria do Oeste - PR.",(42) 36441214,Não Informado,Ensino Fundamental,,
7961,PR,PITANGA,Santa Maria do Oeste,41097769,ANIBAL MARTINS E M C EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"RUA PRINCIPAL SN DO DISTRITO SAO MANOEL, SAO MANOEL. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,
7962,PR,PITANGA,Santa Maria do Oeste,41097475,BALBINA ALMEIDA DE SOUZA E M EI EF,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA CELSO FERREIRA JORGE SN, 0 CENTRO. 85230-000 Santa Maria do Oeste - PR.",(42) 36441315,Não Informado,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
7963,PR,PITANGA,Santa Maria do Oeste,41097491,DIOGO ALVARES CORREIA E M C EF,Municipal,Rural,A escola não está em área de localização diferenciada,"POUSO ALEGRE, POUSO ALEGRE. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Ensino Fundamental,,
7964,PR,PITANGA,Santa Maria do Oeste,41375157,ESTER PAVAN E IR EI EF MOD ED ESP,Privada,Urbana,A escola não está em área de localização diferenciada,"RUA PROFA LURDES T TOMEN, 45 CENTRO. 85230-000 Santa Maria do Oeste - PR.",(42) 36441269,Filantrópica,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,
7965,PR,PITANGA,Santa Maria do Oeste,41148649,ESTRELA DO OESTE C E C EF M,Estadual,Rural,Área de assentamento,"ASSENT ESTRELA DO OESTE, 85230-000 Santa Maria do Oeste - PR.",,Não Informado,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",15679349000179
7966,PR,PITANGA,Santa Maria do Oeste,41383354,FRANCISCO C DA COSTA C E C EF M,Estadual,Rural,A escola não está em área de localização diferenciada,"RIO DO TIGRE, 0 85230-000 Santa Maria do Oeste - PR.",(42) 36441122,Não Informado,"Ensino Fundamental, Ensino Médio",,7423785000154
7967,PR,PITANGA,Santa Maria do Oeste,41097564,JOAO CIONEK C E C EF M P,Estadual,Rural,A escola não está em área de localização diferenciada,"RUA BERNARDINO GRANDE SN, DIST SAO JOSE. 85230-000 Santa Maria do Oeste - PR.",(42) 36171149,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",562107000123
7968,PR,PITANGA,Santa Maria do Oeste,41097440,JOAO MARTINS MACHADO E M C EI EF,Municipal,Rural,A escola não está em área de localização diferenciada,"LAGOA, LAGOA. 85230-000 Santa Maria do Oeste - PR.",,Não Informado,"Educação Infantil, Ensino Fundamental",,
7969,PR,PITANGA,Santa Maria do Oeste,41097610,JOSE DE ANCHIETA C E EF M N PROFIS,Estadual,Urbana,A escola não está em área de localização diferenciada,"RUA GENEROSO KARPINSKI, 1345 CENTRO. 85230-000 Santa Maria do Oeste - PR.",(42) 36441240,Não Informado,"Ensino Fundamental, Ensino Médio, Educação Profissional","Atendimento Educacional Especializado, Atividade Complementar",95684387000159
7970,PR,PITANGA,Santa Maria do Oeste,41097629,JOSE FELIX GRANDE E M C EF,Municipal,Rural,A escola não está em área de localização diferenciada,"RUA PEDRO MORAIS DE OLIVEIRA SN, DIST SAO JOSE. 85230-000 Santa Maria do Oeste - PR.",,Não Informado,Ensino Fundamental,Atendimento Educacional Especializado,
7971,PR,PITANGA,Santa Maria do Oeste,41368878,MARIA WARD C M E I,Municipal,Urbana,A escola não está em área de localização diferenciada,"RUA JOSE DE FRANCA PEREIRA, 40 CENTRO. 85230-000 Santa Maria do Oeste - PR.",(42) 36441050,Não Informado,Educação Infantil,,
