id,value
3184,Desenhistas técnicos de produtos e serviços diversos
3185,Desenhistas projetistas de construçăo civil e arquitetura
3186,Desenhistas projetistas da mecânica
3187,Desenhistas projetistas da eletrônica
3188,Desenhistas projetistas e modelistas de produtos e serviços diversos
3191,Técnicos do vestuário
3192,Técnicos do mobiliário e afins
3201,Técnicos em biologia
3211,Técnicos agrícolas
3212,Técnicos florestais
3213,Técnicos em aqüicultura
3221,Tecnólogos e técnicos em terapias complementares e estéticas
3222,Técnicos e auxiliares de enfermagem
3223,Técnicos em óptica e optometria
3224,Técnicos de odontologia
3225,Técnicos em próteses ortopédicas
3226,Técnicos de imobilizaçőes ortopédicas
3231,Técnicos em pecuária
3241,Tecnólogos e técnicos em métodos de diagnósticos e terapęutica
3242,Técnicos de laboratórios de saúde e bancos de sangue
3250,"Enólogos, perfumistas e aromistas"
3251,Técnico em farmácia e em manipulaçăo farmacęutica
3252,"Técnicos em produçăo, conservaçăo  e de qualidade de alimentos"
3253,Técnicos de apoio ŕ biotecnologia
3281,Técnicos em necrópsia e taxidermistas
3311,Professores de nível médio na educaçăo infantil
3312,Professores de nível médio no ensino fundamental
3313,Professores de nível médio no ensino profissionalizante
3321,Professores leigos no ensino fundamental
3322,Professores práticos no ensino profissionalizante
3331,Instrutores e professores de cursos livres
3341,Inspetores de alunos e afins
3411,"Pilotos de aviaçăo comercial, mecânicos de vôo e afins"
3412,"Técnicos marítimos, fluviários e pescadores de convés"
3413,Técnicos marítimos e fluviários de máquinas
3421,Especialistas em logística de transportes
3422,Despachantes aduaneiros
3423,Técnicos em transportes rodoviários
3424,Técnicos em transportes metroferroviários
3425,Técnicos em transportes aéreos
3426,Técnicos em transportes por vias navegáveis e operaçőes portuárias
3511,Técnicos em contabilidade
3513,Técnicos em administraçăo
3514,Serventuários da justiça e afins
3515,"Técnicos em secretariado, taquígrafos e estenotipistas"
3516,Técnicos em segurança do trabalho
3517,Técnicos de seguros e afins
3518,Agentes de investigaçăo e identificaçăo
3519,Técnicos da inteligęncia
3522,Agentes da saúde e do meio ambiente
3523,Agentes  fiscais metrológicos e de qualidade
3524,Profissionais de direitos autorais e de avaliacăo de produtos dos meios de comunicaçăo
3532,Técnicos em operaçőes e serviços bancários
3541,Especialistas em promoçăo de produtos e vendas
3542,Compradores
3543,Analistas de comércio exterior
3544,Leiloeiros e avaliadores
3545,Corretores de seguros
3546,Corretores de imóveis
3547,Representantes comerciais autônomos
3548,Técnicos em serviços de turismo e organizaçăo de eventos
3711,Técnicos em biblioteconomia
3712,Técnicos em museologia e afins
3713,Técnicos em artes gráficas
3714,Recreadores
3721,Captadores de imagens em movimento
3722,Operadores de rede de teleprocessamento e afins
3731,Técnicos de operaçăo de registros sonoro/audiovisuais
3732,Supervisores operacionais e técnicos em mídias audiovisuais
3741,Técnicos em áudio
3742,Técnicos em cenografia
3743,Técnicos em operaçăo de aparelhos de projeçăo
3744,"Técnicos em montagem, ediçăo e finalizaçăo de mídia audiovisual"
3751,"Designers de interiores, de vitrines e visual merchandiser e afins (nível médio)"
3761,Dançarinos tradicionais e populares
3762,Artistas de circo (circenses)
3763,"Apresentadores de eventos, programas e espetáculos"
3764,Modelos
3771,Atletas profissionais
3772,Árbitros desportivos
3911,"Planejadores, programadores e controladores de produçăo e manutençăo"
3912,Técnicos de controle da produçăo
3951,Técnicos de apoio em pesquisa e desenvolvimento
4101,Supervisores administrativos
4102,"Supervisores de serviços financeiros, de câmbio e de controle"
4110,"Agentes, assistentes e auxiliares administrativos"
4121,Operadores de equipamentos de entrada e transmissăo de dados
4122,Contínuos
4131,Auxiliares de contabilidade
4132,Escriturários de serviços bancários
4141,Almoxarifes e armazenistas
4142,Apontadores e conferentes
4151,"Auxiliares de serviços de documentaçăo, informaçăo e pesquisa"
4152,"Trabalhadores nos serviços de classificaçăo e entregas de correspondęncias, encomendas e publicaçőes"
4153,Trabalhadores em registros e informaçőes em saúde
4201,Supervisores de atendimento ao público e de pesquisa
4211,Caixas e bilheteiros (exceto caixa de banco)
4212,Coletadores de apostas e de jogos
4213,Cobradores e afins
4221,Recepcionistas
4222,Operadores de telefonia
4223,Operadores de telemarketing
4231,Despachantes documentalistas e afins
4241,Entrevistadores e recenseadores
4242,Aplicadores de provas e afins
5101,"Supervisores dos serviços de transporte, turismo, hotelaria e administraçăo de edifícios"
5102,Supervisores de lavanderia
5103,"Supervisores dos serviços de proteçăo, segurança e outros"
5111,Trabalhadores de segurança e atendimento aos usuários nos transportes
5112,Fiscais e cobradores dos transportes coletivos
5114,Guias de turismo
5115,Condutores de turismo
5121,Trabalhadores dos serviços domésticos em geral
5131,Mordomos e governantas
5132,Cozinheiros
5133,"Camareiros, roupeiros e afins"
5134,"Trabalhadores no atendimento em estabelecimentos de serviços de alimentaçăo, bebidas e hotelaria"
5135,Trabalhadores auxiliares nos serviços de alimentaçăo
5136,"Churrasqueiros, pizzaiolos e sushimen"
5141,Trabalhadores nos serviços de administraçăo de edifícios
5142,"Trabalhadores nos serviços de coleta de resíduos, de limpeza e conservaçăo de áreas públicas"
5143,Trabalhadores nos  serviços de manutençăo de edificaçőes
5151,Trabalhadores em serviços de promoçăo e apoio ŕ saúde
5152,Auxiliares de laboratório da saúde
5153,"Trabalhadores de atençăo, defesa e proteçăo a pessoas em situaçăo de risco e adolescentes em conflito com a lei"
5161,Trabalhadores nos serviços de embelezamento e higiene
5162,"Cuidadores de crianças, jovens, adultos e idosos"
