id,exame
37,CORONAVÍRUS COVID-19 IgG/IgM TESTE RÁPIDO
38,COVID-19 ELISA IgG
39,COVID-19 ELISA IgM+IgA
40,COVID-19 IgG/IgM Assure Test
41,COVID-19 IgG/IgM RAPID Combo ECO Teste
42,COVID-19 IgG/IgM KIT DE TESTE RÁPIDO
43,COVID-19 IgG/IgM Rapid Test
44,COVID-19 IgG/IgM Rapid Test Cassette (WB/S/P)
45,COVID-19 IgG/IgM Rapid Test Device (WB/S/P)
46,COVID-19 IgG/IgM Rapid Test Kit
47,COVID-19 IgG/IgM Teste Rápido em Tira
48,COVID-19 Real-Time PCR Kit
49,COVID-19 VIRCLIA IgM/IgA MONOTEST
5,Anti COVID-19 IgG/IgM Rapid Test
50,DETECT SARS-CoV-2 RT-PCR
51,Diagnostic Kit for IgM/IgG Antibody to Coronavirus (SAR S-CoV-2)
52,Diagnostic Kit for Novel-Coronavirus(2019-nCoV) RNA
53,ECO F COVID-19 Ag
54,EURORealTime SARS-CoV-2	RT-PCR
55,Família Abbott RealTime SARS-CoV-2
56,Família Abbott RealTime SARS-CoV-2 EUA
57,FAMÍLIA BIO GENE COVID-19 PCR
58,Família cobas SARS-CoV-2
59,Família Kit de Detecção por PCR em Tempo Real VIASURE SARS-CoV-2
6,BasePoint COVID-19 IgG/IgM
60,FAMÍLIA KIT XGEN MASTER COVID-19
61,Família SARS-CoV-2 IgG
62,GeneFinderTM COVID-19 PLUS RealAmp Kit
63,ichroma COVID-19 Ab	Imunofluorescência
64,Imuno-Rápido COVID-19 IgG/IgM
65,Imunotest COVID-19
66,KIT DE TESTE RAPIDO PARA COVID-19
67,Kit MOLECULAR SARS-CoV2 (E/P1)
68,Kit Molecular SARS-CoV2 (E/RP)
69,KOVID Ab (COVID-19 IgG/IgM)
7,BIOSYNEX COVID-19 BSS
70,LANG SARS-CoV-2 Antibody Test
71,Leccurate - SARS-CoV-2 Antibody Test (colloidal gold immunochromatography)
72,LUMIRATEK COVID-19 (IgG/IgM)
73,MAGLUMI IgG de 2019-nCoV
74,MAGLUMI IgM de 2019-nCoV
75,Medf1rst covid-19 teste rapido
76,NEW CORONAVIRUS IGG/IGM RAPID TEST KIT (COVID-19 IgG/ IgM)
77,NL qSARS-CoV-2 IgG/IgM Cassette Rapid Test
78,Novel Coronavirus (2019-nCoV) Nucleic Acid Detection Kit PCR-Fluorescence Probing
79,Novo kit de teste de anticorpos IgM / IgG para coronavírus (2019-nCoV)
8,CORONAVÍRUS IgG/IgM (COVID-19)
80,Panbio COVID-19 IgG/IgM Rapid Test Device
81,Quick PROFILE COVID-19 IgG/IgM Test Card
82,RealStar® SARS-CoV-2 RT-PCR Kit 1.0
83,SARS CoV-2 ECO Detect
84,SARS-CoV-2 Antibody Test
85,SARS-CoV-2 Antibody Test (colloidal gold immunochromatography)
86,SARS-CoV-2 IgG & IgM Ab Diagnostic Test kit (Colloidal Gold)
87,SARS-COV-2 RT-PCR KIT
88,SARS-CoV-2 S gene for BD Max
89,SARS-CoV-2 TESTE DE ANTICORPO (IMUNOCROMATOGRAFIA EM OURO COLOIDAL)
9,CORONAVÍRUS RAPID TEST
90,TaqPath™ COVID-19 CE-IVD RT PCR Kit
91,Teste de anticorpo SARS-CoV-2 (imunocromatografia - ouro coloidal)
92,Teste para anticorpos de SARS-CoV-2 (imunocromatografia com ouro coloidal)
93,Teste Rápido COVID-19 IgG / IgM Bahiafarma
94,Xpert Xpress SARS-CoV-2
95,SARS-CoV-2 Antibody Test (homologado)
96,Teste Rápido CORONAVÍRUS REALY TECH
98,Elecsys Anti SARS-CoV2
99,CORONAVÍRUS 2019 - SARS-COV-2- IMUNOGLOBULINA TOTAL
188,TR COVID-19 Ag - Bio-Manguinhos
189,TR SARS COV 2 AG - Bio-Manguinhos
187,TR DPP COVID-19 IGM/IGG Bio-Manguinhos
190,TR DPP® COVID-19 AG- Bio-Manguinhos
191,TR COVID-19 AG - IBMP
192,COVID-19 Ag Rapid Test Device - Panbio
